tipo_hotel,cancelada,dias_anticipacion,anio_llegada,mes_llegada,noches_finde,noches_semana,adultos,ninos,regimen_comida,pais_origen,canal_reserva,tipo_deposito,tipo_cliente,tarifa_diaria,solicitudes_especiales,estado_reserva
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,0,110,2016,January,2,5,2,0.0,BB,FRA,Online TA,No Deposit,Transient,46.93,3,Check-Out
Resort Hotel,1,103,2016,January,2,3,2,0.0,BB,PRT,Online TA,No Deposit,Transient,36.45,1,Canceled
Resort Hotel,1,22,2016,January,2,4,2,0.0,BB,PRT,Online TA,No Deposit,Transient,96.0,2,Canceled
Resort Hotel,1,0,2016,January,1,1,2,0.0,BB,PRT,Online TA,No Deposit,Transient,32.3,0,Canceled
Resort Hotel,1,3,2016,January,1,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,52.8,1,Canceled
Resort Hotel,1,5,2016,January,1,3,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,68.0,0,Canceled
Resort Hotel,1,5,2016,January,1,3,1,0.0,HB,PRT,Groups,No Deposit,Transient-Party,61.0,0,Canceled
Resort Hotel,1,5,2016,January,1,3,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,68.0,0,Canceled
Resort Hotel,1,5,2016,January,1,3,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,68.0,0,Canceled
Resort Hotel,1,5,2016,January,1,3,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,68.0,0,Canceled
Resort Hotel,1,20,2016,January,1,4,2,0.0,BB,PRT,Online TA,No Deposit,Transient,54.4,1,Canceled
Resort Hotel,1,62,2016,January,1,4,2,0.0,BB,PRT,Online TA,No Deposit,Transient,61.2,1,Canceled
Resort Hotel,1,189,2016,January,0,5,1,0.0,BB,PRT,Online TA,No Deposit,Transient,25.11,2,Canceled
Resort Hotel,1,132,2016,January,0,3,2,0.0,BB,PRT,Online TA,No Deposit,Transient,29.16,1,Canceled
Resort Hotel,1,13,2016,January,8,20,2,0.0,Undefined,PRT,Offline TA/TO,No Deposit,Transient,65.0,0,Canceled
Resort Hotel,0,86,2016,January,0,1,2,0.0,HB,GBR,Online TA,No Deposit,Transient,79.5,1,Check-Out
Resort Hotel,0,187,2016,January,0,4,2,0.0,BB,DEU,Online TA,No Deposit,Transient,41.4,1,Check-Out
Resort Hotel,0,85,2016,January,0,4,2,0.0,BB,BRA,Online TA,No Deposit,Transient,47.4,1,Check-Out
Resort Hotel,1,93,2016,January,2,6,2,0.0,BB,PRT,Direct,No Deposit,Transient,47.6,1,Canceled
Resort Hotel,1,93,2016,January,2,6,2,0.0,BB,PRT,Direct,No Deposit,Transient,73.1,1,Canceled
Resort Hotel,1,0,2016,January,0,1,2,0.0,BB,PRT,Online TA,No Deposit,Transient,48.0,2,Canceled
Resort Hotel,1,143,2016,January,1,3,2,0.0,BB,PRT,Online TA,No Deposit,Transient,38.4,2,Canceled
Resort Hotel,1,223,2016,January,2,5,2,0.0,BB,PRT,Offline TA/TO,No Deposit,Transient,107.0,0,Canceled
Resort Hotel,1,117,2016,January,2,5,1,0.0,HB,PRT,Offline TA/TO,No Deposit,Transient,33.08,2,Canceled
Resort Hotel,1,13,2016,January,0,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,48.0,0,Canceled
Resort Hotel,1,24,2016,January,0,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,48.0,1,Canceled
Resort Hotel,1,2,2016,January,0,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,48.0,0,No-Show
Resort Hotel,0,59,2016,January,0,2,2,0.0,BB,PRT,Offline TA/TO,No Deposit,Transient,29.0,0,Check-Out
Resort Hotel,1,6,2016,January,0,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,96.0,0,Canceled
Resort Hotel,1,11,2016,January,1,2,2,0.0,BB,PRT,Offline TA/TO,No Deposit,Transient,29.0,1,No-Show
Resort Hotel,1,19,2016,January,1,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,52.8,0,Canceled
Resort Hotel,1,19,2016,January,1,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,52.8,0,Canceled
Resort Hotel,0,74,2016,January,2,2,2,0.0,BB,IRL,Offline TA/TO,No Deposit,Transient,33.3,0,Check-Out
Resort Hotel,0,169,2016,January,2,3,2,0.0,BB,GBR,Online TA,No Deposit,Transient,50.4,1,Check-Out
Resort Hotel,1,200,2016,January,8,20,2,0.0,BB,PRT,Online TA,No Deposit,Transient,50.4,0,Canceled
Resort Hotel,1,1,2016,January,0,1,1,0.0,BB,PRT,Online TA,No Deposit,Transient,39.0,1,Canceled
Resort Hotel,1,28,2016,January,0,1,2,0.0,BB,PRT,Online TA,No Deposit,Transient,56.0,1,Canceled
Resort Hotel,1,1,2016,January,0,1,1,0.0,BB,PRT,Online TA,No Deposit,Transient,39.0,1,Canceled
Resort Hotel,1,28,2016,January,0,1,2,0.0,BB,PRT,Online TA,No Deposit,Transient,56.0,1,Canceled
Resort Hotel,1,110,2016,January,2,1,2,0.0,BB,PRT,Online TA,No Deposit,Transient,36.45,0,Canceled
Resort Hotel,1,15,2016,January,2,5,2,0.0,BB,PRT,Online TA,No Deposit,Transient,48.0,0,Canceled
Resort Hotel,1,103,2016,January,2,6,2,2.0,BB,PRT,Online TA,No Deposit,Transient,77.4,1,Canceled
Resort Hotel,0,87,2016,January,4,10,2,0.0,BB,DEU,Offline TA/TO,No Deposit,Transient,26.1,0,Check-Out
Resort Hotel,1,177,2016,January,2,4,1,0.0,BB,PRT,Online TA,No Deposit,Transient,25.11,1,Canceled
Resort Hotel,1,6,2016,January,2,3,2,0.0,BB,PRT,Online TA,No Deposit,Transient,48.0,1,Canceled
Resort Hotel,1,8,2016,January,0,2,2,0.0,BB,PRT,Direct,No Deposit,Transient,43.0,0,No-Show
Resort Hotel,1,99,2016,January,2,10,2,0.0,BB,PRT,Online TA,No Deposit,Transient,41.4,0,Canceled
Resort Hotel,1,99,2016,January,2,10,2,0.0,BB,PRT,Online TA,No Deposit,Transient,41.4,1,No-Show
Resort Hotel,0,172,2016,January,8,20,2,0.0,BB,GBR,Offline TA/TO,No Deposit,Contract,25.92,1,Check-Out
Resort Hotel,1,284,2016,January,8,20,2,0.0,BB,PRT,Offline TA/TO,No Deposit,Transient,26.1,0,Canceled
Resort Hotel,1,122,2016,January,12,30,2,0.0,BB,PRT,Offline TA/TO,No Deposit,Transient,22.11,0,Canceled
Resort Hotel,0,0,2016,January,0,0,2,0.0,BB,PRT,Online TA,No Deposit,Transient,0.0,1,Check-Out
Resort Hotel,1,15,2016,January,0,4,1,0.0,BB,PRT,Online TA,No Deposit,Transient,39.0,2,Canceled
Resort Hotel,1,15,2016,January,0,4,1,0.0,BB,PRT,Online TA,No Deposit,Transient,39.0,2,Canceled
Resort Hotel,1,15,2016,January,0,4,1,0.0,BB,PRT,Online TA,No Deposit,Transient,39.0,2,Canceled
Resort Hotel,0,23,2016,January,0,1,2,0.0,BB,USA,Direct,No Deposit,Transient,48.0,0,Check-Out
Resort Hotel,1,0,2016,January,0,1,2,0.0,BB,PRT,Direct,No Deposit,Transient-Party,44.0,0,Canceled
Resort Hotel,1,34,2016,January,0,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,44.8,1,Canceled
Resort Hotel,1,1,2016,January,0,1,2,0.0,BB,PRT,Online TA,No Deposit,Transient,59.0,1,No-Show
Resort Hotel,1,7,2016,January,2,5,2,0.0,HB,PRT,Online TA,No Deposit,Transient,57.6,0,Canceled
Resort Hotel,1,172,2016,January,3,5,2,0.0,HB,PRT,Online TA,No Deposit,Transient,59.4,1,Canceled
Resort Hotel,1,172,2016,January,3,5,2,0.0,BB,PRT,Online TA,No Deposit,Transient,29.16,1,Canceled
Resort Hotel,1,12,2016,January,1,0,1,0.0,BB,PRT,Complementary,No Deposit,Transient,0.0,0,Canceled
Resort Hotel,1,31,2016,January,1,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,44.8,1,Canceled
Resort Hotel,1,3,2016,January,0,1,1,0.0,BB,PRT,Online TA,No Deposit,Transient,39.0,0,Canceled
Resort Hotel,1,3,2016,January,0,1,1,0.0,BB,PRT,Corporate,No Deposit,Transient,30.0,0,Canceled
Resort Hotel,1,34,2016,January,0,3,2,0.0,BB,PRT,Online TA,No Deposit,Transient,44.8,1,Canceled
Resort Hotel,1,26,2016,January,0,3,2,0.0,BB,PRT,Online TA,No Deposit,Transient,44.8,1,Canceled
Resort Hotel,1,3,2016,January,0,1,1,0.0,BB,PRT,Offline TA/TO,No Deposit,Transient-Party,38.0,2,Canceled
Resort Hotel,0,101,2016,January,0,2,2,0.0,HB,GBR,Online TA,No Deposit,Transient,66.98,0,Check-Out
Resort Hotel,1,3,2016,January,0,1,2,0.0,BB,PRT,Offline TA/TO,No Deposit,Transient-Party,43.0,2,Canceled
Resort Hotel,1,3,2016,January,0,2,2,0.0,BB,PRT,Direct,No Deposit,Transient,52.8,1,Canceled
Resort Hotel,1,13,2016,January,2,4,2,0.0,BB,PRT,Online TA,No Deposit,Transient,44.8,2,No-Show
Resort Hotel,1,11,2016,January,0,1,2,0.0,BB,PRT,Online TA,No Deposit,Transient,48.0,0,No-Show
Resort Hotel,1,1,2016,January,0,1,2,0.0,HB,PRT,Online TA,No Deposit,Transient,96.0,1,No-Show
Resort Hotel,1,173,2016,January,1,0,2,0.0,HB,PRT,Online TA,No Deposit,Transient,59.4,1,Canceled
Resort Hotel,1,14,2016,January,1,2,2,0.0,BB,PRT,Direct,No Deposit,Transient,61.0,2,Canceled
Resort Hotel,0,160,2016,January,1,3,2,0.0,BB,GBR,Online TA,No Deposit,Transient,36.86,1,Check-Out
Resort Hotel,0,154,2016,January,0,1,2,0.0,BB,KOR,Online TA,No Deposit,Transient,35.16,2,Check-Out
Resort Hotel,1,4,2016,January,0,1,1,0.0,BB,PRT,Corporate,No Deposit,Transient,38.0,0,Canceled
Resort Hotel,0,214,2016,January,12,30,2,0.0,BB,GBR,Offline TA/TO,No Deposit,Transient,31.45,0,Check-Out
Resort Hotel,0,154,2016,January,0,1,2,0.0,BB,KOR,Online TA,No Deposit,Transient,29.16,2,Check-Out
Resort Hotel,1,5,2016,January,0,1,1,0.0,BB,PRT,Corporate,No Deposit,Transient,39.0,0,Canceled
Resort Hotel,1,16,2016,January,0,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,48.0,1,Canceled
Resort Hotel,1,2,2016,January,0,1,1,0.0,BB,PRT,Corporate,No Deposit,Transient,30.0,0,Canceled
Resort Hotel,1,80,2016,January,0,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,48.0,1,Canceled
Resort Hotel,1,33,2016,January,0,3,1,0.0,BB,PRT,Online TA,No Deposit,Transient,39.0,0,Canceled
Resort Hotel,1,33,2016,January,0,3,1,0.0,BB,PRT,Online TA,No Deposit,Transient,39.0,0,Canceled
Resort Hotel,1,185,2016,January,2,3,2,0.0,BB,PRT,Online TA,No Deposit,Transient,32.4,3,Canceled
Resort Hotel,0,1,2016,January,0,1,2,0.0,BB,PRT,Direct,No Deposit,Transient,75.0,0,Check-Out
Resort Hotel,1,48,2016,January,0,2,2,0.0,HB,PRT,Offline TA/TO,No Deposit,Transient,55.0,0,Canceled
Resort Hotel,1,157,2016,January,2,5,2,0.0,HB,PRT,Online TA,No Deposit,Transient,88.2,1,Canceled
Resort Hotel,1,15,2016,January,0,1,2,0.0,BB,PRT,Online TA,No Deposit,Transient,48.0,1,Canceled
Resort Hotel,1,22,2016,January,2,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,52.8,2,Canceled
Resort Hotel,1,3,2016,February,1,0,1,0.0,BB,PRT,Corporate,No Deposit,Transient-Party,39.0,0,Canceled
Resort Hotel,1,3,2016,February,1,0,1,0.0,BB,PRT,Corporate,No Deposit,Transient-Party,39.0,0,Canceled
Resort Hotel,0,0,2016,February,1,0,1,0.0,BB,PRT,Corporate,No Deposit,Transient,39.0,1,Check-Out
Resort Hotel,1,13,2016,February,1,0,2,0.0,BB,PRT,Direct,No Deposit,Transient,67.0,0,Canceled
Resort Hotel,1,11,2016,February,1,3,1,0.0,BB,PRT,Corporate,No Deposit,Transient,27.0,0,Canceled
Resort Hotel,1,28,2016,February,1,3,2,0.0,BB,PRT,Online TA,No Deposit,Transient,46.4,2,Canceled
Resort Hotel,0,101,2016,February,2,5,2,0.0,BB,GBR,Online TA,No Deposit,Transient,43.2,1,Check-Out
Resort Hotel,1,202,2016,February,0,3,1,0.0,BB,PRT,Online TA,No Deposit,Transient,27.9,1,Canceled
Resort Hotel,1,133,2016,February,5,15,2,0.0,BB,PRT,Offline TA/TO,No Deposit,Transient,24.94,0,Canceled
Resort Hotel,1,4,2016,February,0,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,68.0,1,Canceled
Resort Hotel,0,116,2016,February,0,4,2,0.0,BB,GBR,Direct,No Deposit,Transient,56.1,1,Check-Out
Resort Hotel,1,100,2016,February,0,4,2,0.0,BB,PRT,Direct,No Deposit,Transient,56.1,0,Canceled
Resort Hotel,0,97,2016,February,0,4,2,0.0,BB,GBR,Offline TA/TO,No Deposit,Transient,50.54,0,Check-Out
Resort Hotel,1,39,2016,February,2,5,2,0.0,HB,PRT,Offline TA/TO,No Deposit,Transient,55.0,0,Canceled
Resort Hotel,1,46,2016,February,7,19,1,0.0,BB,PRT,Direct,No Deposit,Transient-Party,30.0,1,Canceled
Resort Hotel,1,46,2016,February,7,19,2,0.0,BB,PRT,Direct,No Deposit,Transient-Party,38.0,1,Canceled
Resort Hotel,1,20,2016,February,0,1,1,0.0,BB,PRT,Online TA,No Deposit,Transient,39.0,1,Canceled
Resort Hotel,1,142,2016,February,0,3,2,0.0,BB,PRT,Online TA,No Deposit,Transient,50.4,1,Canceled
Resort Hotel,1,17,2016,February,0,3,2,0.0,BB,PRT,Online TA,No Deposit,Transient,54.67,1,Canceled
Resort Hotel,1,26,2016,February,1,3,2,1.0,BB,PRT,Online TA,No Deposit,Transient,87.0,1,Canceled
Resort Hotel,1,83,2016,February,1,3,2,2.0,BB,PRT,Online TA,No Deposit,Transient,98.0,0,Canceled
Resort Hotel,1,99,2016,February,4,8,2,0.0,BB,PRT,Online TA,No Deposit,Transient,38.88,1,Canceled
Resort Hotel,1,13,2016,February,0,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,53.0,1,Canceled
Resort Hotel,1,2,2016,February,0,2,2,1.0,BB,PRT,Offline TA/TO,No Deposit,Transient,36.25,1,Canceled
Resort Hotel,1,18,2016,February,1,2,2,1.0,BB,PRT,Online TA,No Deposit,Transient,69.67,2,Canceled
Resort Hotel,0,88,2016,February,2,2,2,0.0,BB,ESP,Offline TA/TO,No Deposit,Transient-Party,26.0,0,Check-Out
Resort Hotel,0,88,2016,February,2,2,2,0.0,BB,ESP,Offline TA/TO,No Deposit,Transient-Party,26.0,0,Check-Out
Resort Hotel,1,18,2016,February,2,5,2,0.0,BB,PRT,Online TA,No Deposit,Transient,56.57,2,Canceled
Resort Hotel,1,18,2016,February,2,5,2,0.0,BB,PRT,Online TA,No Deposit,Transient,56.57,2,Canceled
Resort Hotel,0,211,2016,February,2,6,2,0.0,HB,GBR,Offline TA/TO,No Deposit,Transient,72.55,0,Check-Out
Resort Hotel,1,29,2016,February,2,1,2,0.0,BB,PRT,Online TA,No Deposit,Transient,48.0,1,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,12,2016,February,2,1,2,2.0,BB,PRT,Online TA,No Deposit,Transient,78.0,1,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,22,2016,February,2,1,3,1.0,BB,PRT,Online TA,No Deposit,Transient,118.0,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,72,2016,February,2,1,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,73.33,0,Canceled
Resort Hotel,1,155,2016,February,2,2,2,0.0,HB,PRT,Online TA,No Deposit,Transient,59.4,0,Canceled
Resort Hotel,0,94,2016,February,2,2,2,0.0,BB,IRL,Offline TA/TO,No Deposit,Transient,28.1,2,Check-Out
Resort Hotel,0,94,2016,February,2,2,2,0.0,BB,IRL,Offline TA/TO,No Deposit,Transient,28.1,1,Check-Out
Resort Hotel,1,81,2016,February,2,5,2,0.0,HB,PRT,Online TA,No Deposit,Transient,70.2,1,Canceled
Resort Hotel,0,168,2016,February,2,5,2,0.0,BB,DNK,Online TA,No Deposit,Transient,36.86,1,Check-Out
Resort Hotel,1,120,2016,February,4,6,2,0.0,BB,PRT,Online TA,No Deposit,Transient,50.4,1,Canceled
Resort Hotel,1,8,2016,February,4,10,1,0.0,BB,PRT,Offline TA/TO,No Deposit,Transient,25.0,0,Canceled
Resort Hotel,1,4,2016,February,2,1,1,0.0,BB,PRT,Direct,No Deposit,Transient,39.0,0,Canceled
Resort Hotel,1,111,2016,February,1,0,2,0.0,BB,PRT,Online TA,No Deposit,Transient,41.4,0,Canceled
Resort Hotel,0,143,2016,February,1,1,2,0.0,BB,CHN,Online TA,No Deposit,Transient,41.4,1,Check-Out
Resort Hotel,0,143,2016,February,1,1,2,0.0,BB,CHN,Online TA,No Deposit,Transient,41.4,1,Check-Out
Resort Hotel,1,102,2016,February,1,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,1,102,2016,February,1,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,1,102,2016,February,1,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,1,102,2016,February,1,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,1,102,2016,February,1,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,1,102,2016,February,1,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,1,5,2016,February,1,3,2,2.0,BB,PRT,Online TA,No Deposit,Transient,98.0,1,No-Show
Resort Hotel,0,117,2016,February,1,3,2,0.0,BB,IRL,Online TA,No Deposit,Transient,43.4,2,Check-Out
Resort Hotel,0,152,2016,February,1,3,2,0.0,BB,IRL,Online TA,No Deposit,Transient,67.88,2,Check-Out
Resort Hotel,1,32,2016,February,1,4,2,0.0,BB,PRT,Online TA,No Deposit,Transient,53.44,1,Canceled
Resort Hotel,0,103,2016,February,0,2,2,0.0,HB,FRA,Groups,No Deposit,Transient-Party,50.0,1,Check-Out
Resort Hotel,1,103,2016,February,0,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,0,103,2016,February,0,2,2,0.0,HB,FRA,Groups,No Deposit,Transient-Party,50.0,0,Check-Out
Resort Hotel,0,103,2016,February,0,2,2,0.0,HB,FRA,Groups,No Deposit,Transient-Party,50.0,0,Check-Out
Resort Hotel,1,103,2016,February,0,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,1,103,2016,February,0,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,1,103,2016,February,0,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,1,103,2016,February,0,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,1,103,2016,February,0,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,1,103,2016,February,0,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,0,103,2016,February,0,2,2,0.0,HB,FRA,Groups,No Deposit,Transient-Party,50.0,0,Check-Out
Resort Hotel,0,103,2016,February,0,2,2,0.0,HB,FRA,Groups,No Deposit,Transient-Party,50.0,0,Check-Out
Resort Hotel,0,103,2016,February,0,2,2,0.0,HB,PRT,Groups,No Deposit,Transient,50.0,1,Check-Out
Resort Hotel,0,103,2016,February,0,2,2,0.0,HB,FRA,Groups,No Deposit,Transient-Party,50.0,0,Check-Out
Resort Hotel,0,103,2016,February,0,2,2,0.0,HB,FRA,Groups,No Deposit,Transient-Party,50.0,0,Check-Out
Resort Hotel,1,103,2016,February,0,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,1,103,2016,February,0,2,2,0.0,HB,PRT,Groups,No Deposit,Transient-Party,50.0,0,Canceled
Resort Hotel,0,103,2016,February,0,2,2,0.0,HB,FRA,Groups,No Deposit,Transient-Party,50.0,0,Check-Out
Resort Hotel,0,103,2016,February,0,2,2,0.0,HB,FRA,Groups,No Deposit,Transient-Party,52.0,1,Check-Out
Resort Hotel,1,312,2016,February,4,10,2,0.0,BB,PRT,Offline TA/TO,No Deposit,Transient,26.1,0,Canceled
Resort Hotel,0,2,2016,February,0,1,1,0.0,BB,PRT,Offline TA/TO,No Deposit,Transient,30.0,2,Check-Out
Resort Hotel,0,103,2016,February,0,2,2,0.0,BB,NLD,Online TA,No Deposit,Transient,61.2,0,Check-Out
