Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
9994,1110,45,,This is a great dress!  very different and light but cute details,5,1,0,General,Dresses,Dresses
1438,1081,39,Beautiful casual dress,Love! highly recommend...usually i wait for sale price but this was worth the extra splurge. so flattering!,5,1,0,General Petite,Dresses,Dresses
11073,1086,39,Pretty pleasing,Very pleased with this vibrant and colorful sweater dress. the color combinations are very beautiful and it seems as if the threads used have an inherent shimmer. the fit is body skimming without highlighting trouble spots. i am a m/l on top and a s/m on bottom and the size medium fits perfectly. the cut adds the illusion of proportion to my disproportionate body. there are some problems but workable: slip is sewn-in which i wish was detachable; the scoop neck is too low for my 36ddd bust; weave,5,1,0,General,Dresses,Dresses
18281,1025,30,Favorite flar denim,These are my favorite flare jeans! they have that lovely 70's style and go with everything and look great all year round. the fit is perfect. my all time favorite jeans.,5,1,0,General Petite,Bottoms,Jeans
4768,1080,39,Beautiful!!,This dress is so easy to wear! the neck line is not too low! can wear a regular bra!! it flows beautifully! i love it!!,5,1,0,General,Dresses,Dresses
20082,823,70,Party in the back,I saw this top on a store mannikin and was drawn to it by it's color and print. it looked great with blue jeans on display and a lariat necklace. then i noticed the different design on the back below the yoke. the surprise was its being pleated into very fine pleats. i liked the funky quality this added. the design is a good transitional piece to wear early fall or under a jacket. it is machine washable and that finalized the purchase of it. i bought the necklace too. i often wear a small but go,5,1,12,General,Tops,Blouses
11962,829,36,Buy in multiple colors!,"I'm a huge maeve enthusiast. tried this on in three different colors, and although these types of maeve tops have had sizing differences from season to season, this top is more true-to-size than others have been more recently. the petite size for me was too short to tuck in, but the regular worked perfectly. the top is roomy, flowy, and the white version is sheer, but a white tank under it would be perfect. the green umbrellas are adorable! a great way to spruce up your wardrobe for spring!",5,1,2,General,Tops,Blouses
16033,1056,55,Love these pants!,My favorite pants! they do run slightly large so i sized down. i have 3 colors and will continue to add more!,5,1,0,General,Bottoms,Pants
16429,1086,49,,"Absolutely adore this dress. soft and comfortable fabric, ankle length but could be knotted in the front to be shorten. i am usually a s but had to buy an xs. the neckline may be a bit too low, if you are flat-chested. if you happen to see this gem in stores... it is a must buy! it will sell out completely in two days. some customer went back to exchange the next day that it had arrived in-stores but it was sold out, so we had to order it. perfect for all seasons and layering.",5,1,7,General,Dresses,Dresses
6975,663,37,Perfect basic wardrobe staple,The fit is true to size. the quality is nice. i am happy to having this basic wardrobe staple added to my closet!,5,1,0,Initmates,Intimate,Lounge
22071,850,42,Perfect peplum,I purchased this blouse for an easter brunch and couldn't be happier! the feminine/romantic print is a gorgeous addition to my spring wardrobe. i've paired it with a pencil skirt and heels for a dressier look as well as my favorite ag cuffed denim and sandals for a more casual daytime look.,5,1,0,General,Tops,Blouses
1939,862,76,,"It was very pretty,but it ran very big , sadly i had to return it.",2,0,0,General Petite,Tops,Knits
5631,705,34,So cute!,"This romper is so dang cute. i normally wear a m/l or 10/12. i took a medium in this though either size would probably have worked depending how loose you like it. it's not too sheer and the shorts aren't too short (i'm 5'9). my only complaint is the front toe came off on one side as i was trying it on, an easy fix but still it should come off that easy.",5,1,0,General,Bottoms,Shorts
17662,978,35,,"Runs extremely large. i got an xs and am 5'4"" 115lbs and this would have fit someone who typically wears a size 10-14 and is 5'6"" and above. very disappointed with the size. the quality of the fabric wasn't great either. i wanted it to work so bad but just didn't!",2,0,6,General Petite,Jackets,Jackets
17421,820,56,Too short waisted!,"I ordered this top in a 14, my usual size, and it fits fine, but it is way too short-waisted! it looks nothing like what the model is wearing. her top comes low on her waist, almost to her crotch area. mine was just about 2 inches below my belly button! it was almost as if they accidentally cut off the lower half of the top at the factory! very strange.",1,0,11,General Petite,Tops,Blouses
8809,861,26,Super comfy,I'm an employee and bought this top today. i'm so happy i ended up buying it on a whim! it's adorable and super comfy! it's perfect for those jeans and a tee day! i can't wait to wear it to work. the color is gorgeous and the peplum adds a feminine detail without being too puffy...in love!,5,1,11,General Petite,Tops,Knits
5001,1068,47,Love these pants,"I have a couple of pair of hei hei pants from last summer that i love and was so happy to see these. i am curvy (5'8"" size 8) and got these in a 30 and they fit perfectly in the hips and no gap at the waist. i love them so much that i bought a second pair. the only thing that could make them better is if they had a bit of stretch.",5,1,0,General,Bottoms,Pants
5616,1081,42,Gorgeous! stock photo does not do it justice,"I had seen this online a few times and while it caught my eye because of the color, i never really bothered to check out the details due to the stock photo. it looks quite bland as it doesn't really flatter the model. however, once i saw this dress in-store, i was drawn to it immediately. the dress is well made, the embroidery is delicate and beautiful with interesting design features. i love the combination of the summer dress with a collar. it makes this dress so work appropriate as well as it",5,1,1,General,Dresses,Dresses
14056,621,44,Show your petite customers some love,"I loved the look of this dress the moment i saw it but was ridiculously long. at 5""3 i can usually get away with buying regular length longer dresses and pants with the help of heels if needed but not a chance this time. this dress does not come in petite and the fringed bottom design of the dress would not allow for any type of altering either.",5,1,3,General Petite,Intimate,Lounge
4270,1024,31,In love!!,I may wear these every day! i am obsessed. i am 5'8 125ibs normally a size 25/26 in jeans. i ordered these in a 26 and they fit like a glove! they do not stretch much at all and keep a really nice vintage fit and feel. i am extremely happy with this purchase. these are a must have staple in anyone's wardrobe.,5,1,1,General,Bottoms,Jeans
23184,1094,66,Super flattering,"I find it very hard to find a dress. never like the way they look on me..this one???? fits like a glove, flatters my silhouette (which is difficult because even though i am at a good weight my waist is never small). looks like million bucks on me....i love it!!!",5,1,0,General,Dresses,Dresses
16879,1104,45,Perfect comfy black dress,I got this dress to wear for christmas and it is perfect. looks great and is very comfy. low cut in front and back that is not too revealing and allows for perfect bra coverages. i got it in a small small.,5,1,0,General,Dresses,Dresses
2620,829,49,Great fun top,"Nice quality, not too thin like most white tops and the arms are cut just right. perfect length too.",5,1,3,General Petite,Tops,Blouses
2673,282,48,Great casual short,These shorts are age-appropriate for all. they're loose fitting and cal me rolled up or left down where they end above the knee. the fabric is soft and colors are fun,5,1,22,General,Bottoms,Shorts
3850,1081,49,Super comfortable,"I love this dress! the fabric feels amazing & is super flattering. i am 5'4 with broad shoulders & a 36d chest and went with the small petite. i originally purchased the regular extra small which looked great, i just think the sp was slightly neater though the shoulders & length. it hits me above the knee as shown in the photo of the light colored dress with the long vest",5,1,0,General Petite,Dresses,Dresses
19288,1078,39,Not flattering,Didn't like the dress. look pregnant in it. this dress is going back.,1,0,0,General Petite,Dresses,Dresses
16210,1081,72,Smart & stylish dress,This dress fits pretty much how it looks on the model. the fabric is soft and the stripes are a goldish color. i bought this because of the other reviews and glad i did! perfect dress for work and going out. the petite hits me mid-thigh like in the photo.,5,1,0,General Petite,Dresses,Dresses
22609,1081,45,Pretty patchwork!,"I tried this dress at the store today and couldn't leave without it. also tried the pacquerette shirtdress which has a similar boho/peasant vibe and overall preferred the fit and look of this one. plus, its lined, which the paquerette shirtdress is not for the same price. fit was very similar to the anwen peasant dress, which i also have, and the regular size xs fit me much the same as in that dress. it is maybe 1 inch longer though, but still that makes it a couple of inches above the knee for",5,1,8,General,Dresses,Dresses
23223,986,37,This one is on repeat!,"I bought this kimono only a couple weeks ago...and i think i've worn it six times already! this kimono is stunning. light, airy and the colors are absolutely gorgeous. the print is unique and bold. i've worn this over a black dress...with leggings and a white tank...with denim and every color top. the options are endless with this beauty! the only downside is the kimono is so airy and oversized that the armholes easily get hooked on things. i ripped it once but thankfully it was right down the s",5,1,3,General,Jackets,Jackets
6835,739,60,Casual and smart enough for work,"I'm a teacher and am always looking for easy to wear pieces that will also work for my job. i also walk in to campus with my backpack, so i need something that looks good but is comfortable. 
this dress drapes beautifully, is really soft, and has a wide, flattering neckline. i'm short and chose the regular size instead of petite so that it would hit right at the knee. it's definitely on the generous side: i usually wear an s and i sized down to an xs.
i can definitely see getting a lot of wear",5,1,2,Initmates,Intimate,Lounge
16656,1045,60,Extremely small pant!,Very small! so disappointed! they did not even have a size for me to exchange a day later when they arrived!,1,0,0,General,Bottoms,Pants
16772,824,39,Super cute,"I, sadly, only noticed this top once on sale. i tried on the xs and it was just a bit big, i would need the petite, so i had to leave it behind (115 lbs, 30dd) - but it is adorable, can be dressed up and classy, casually with jeans, or sweetly, so many ways... love the subtle polka dots... oh well, i am sure i will find something similar i love!",5,1,1,General Petite,Tops,Blouses
6831,876,40,,I really wanted to like this shirt the quality is amazing and much prettier in person but it is hard to take care of. if you wash it the wrinkles are horrible so it has to be dry clean only. also the back is ridiculously long it looks very odd from the side view.,2,0,2,General Petite,Tops,Knits
4655,1095,48,Fit was off,"I was really excited to get this dress, i initially ordered a small (i am a size 4) but when i tried it on, it was really tight. the bodice at the top fit strangely-i had to shorten the straps quite a bit, and the dress just looked off. i love retailer and get all of my dresses from there, and the look of the dress on line was beautiful, but just didn't fit right. i did love the lace look, and would love seeing more dresses with this design.",1,0,5,General Petite,Dresses,Dresses
12187,895,42,Lovely sweater,Bought the camel color and love it. nice for cool evenings and mornings spring through fall. soft and comfortable. delicate yet not too much so that you wouldn't wear often.,5,1,0,General,Tops,Fine gauge
19872,875,37,Odd fit,"I really wanted to like this top, but unfortunately it is not as pretty or flattering in person. the yellow looks dirty in real life, not pretty like the picture. it is also a strange fit/shape when it is on. i tried it on in the store and did not like it at all.",2,0,2,General,Tops,Knits
7835,1110,32,Floaty beach dress,"I am not a model shape but this dress looked so light and beautiful i had to try it. it wasn't available in my local store so i risked it and ordered online. i'm 5'6"" and about 175 lbs; the medium fits perfectly. i will say that the skirt fabric comes much more sharply pleated than it looks in the photos, maybe this hangs out/mellows over time. the lining to the knee is going to be great for warm summer days. can wear to work with a shrug and some flats or to a summer wedding. the pattern is bea",5,1,3,General Petite,Dresses,Dresses
20230,700,67,,"I ordered this bra in my normal size 32d, and it fits me perfectly. this bra is beautiful. the material seems to be very high quality, and the comfort of this bra is amazing. it's definitely a keeper.",5,1,1,Initmates,Intimate,Intimates
168,862,40,,,5,1,0,General,Tops,Knits
14526,1035,30,Super cute!,"Okay, these are seriously the cutest black jeans i've ever put on my body. i can't say enough positive things about them. sure, the color bleeds a little (like the previous review stated), but they're black jeans. i haven't encountered a single pair of designer black jeans that don't have some color transfer. 

also, these jeans are really stretchy which makes them a dream to wear. 

here is my one complaint -- i am normally a size 29-30 depending upon brand, cut etc. i had to size down to a",5,1,0,General,Bottoms,Jeans
15681,907,66,Gorgeous.,So lovely.  perfect print / graphic.  want to buy in both colors but the yellow is perfection.,5,1,0,General,Tops,Fine gauge
887,1055,63,,"These run small (i am 110 and got a size 4), they were a tad tight on top. the waist fit but felt a little too snug, short from waist to crotch and then bloomed out in a nice but stiff ish material. they are a dark blue animal print. i felt like bozo the clown goes to the jungle. they looked so silly i had to laugh. even with the 20% off, these are going back. not even comfortable to lounge around the house in never mind being seen by anyone in person!",2,0,0,General Petite,Bottoms,Pants
12529,824,57,Love this buttondown!,"Sorry, but i disagree with a previous reviewer who wrote that this buttondown is sheer and runs large. as for sizing, i purchased my usual size small. the fit is intended to be a bit slouchy, and it fits perfectly through the shoulders and the bust. love the high/low hemline, and the back isn't too tight across my bum. i'll also note that i'm 57 years of age and might tend to be a little more modest when it comes to sheer fabrics. the see-through factor is not an issue with this buttondown. i'm",5,1,13,General Petite,Tops,Blouses
4520,820,45,Love this blouse!,"This is one of the best purchases f
i have made at retailer recently. i got this in ivory in my usual xs. the pictures do not do it justice.  it has such a nice drape and i love the detail on the back.  looks great with black cropped trousers, as well as skinny jeans.",5,1,0,General,Tops,Blouses
8443,823,47,Quirky,Nice top; the material is soft and drapey. i like to wear it layered under a shorter shirt or jacket.,5,1,0,General,Tops,Blouses
11745,1078,36,Surpassed my expectations,"I really wasn't sure if this dress would work for me, so i was very excited when i fell in love with it! i haven't experienced any quality or tearing issues with it as one reviewer noted, thank goodness! i love the color scheme and versatility of this dress. i have worn it with tights, a belt and short-heeled ankle booties to make it a little more dressy. but i most love it with some funky jewelry and leggings, wearing it more tunic style. the slip underneath is a great feature as well! it does",5,1,1,General Petite,Dresses,Dresses
12620,1024,52,,,5,1,0,General,Bottoms,Jeans
6609,836,40,"Very pretty blouse, just as pictured","I liked this blouse very much the minute i first seen it, it looks exactly as pictured but sits much better in person. i'm 6ft tall 160lb ordered a 10 which was true to size with a little more room to the bottom. i was able to see my belly button through the sheer part of the bottom fabric, but as soon as i sucked my belly in, it was fine. the quality of the fabric is so-so i had some threads hanging out here and there, but this top looks very good in person and the design is unique, you can hav",5,1,0,General,Tops,Blouses
18438,876,39,Simple but beautiful,This shirt is really cute.  i love the color and design.  i like wearing it with jeans and sneakers.,5,1,0,General,Tops,Knits
19203,1149,33,Makes me feel feminine,"I feel in love with the dress when i saw it hanging at the store. usually, i feel bailey 44 dresses make my body look really round and short. i've passed up a few because i didn't find them too flattering. i almost even just passed this one up because of my past experiences, but i tried it on and felt like i had the body of another person! it hugged my body very nicely and i felt like it gave me a shape! i also saw all the possibilities it had. the store had it styled with a denim jacket. i can",5,1,2,General Petite,Dresses,Dresses
4636,963,68,"Very beautiful, very versatile and very flattering","I cannot keep my hands off this gorgeous kimono - i want to wear it every day! it goes with so much of my wardrobe. it's thin, and cool (both meanings of cool apply). i like to keep my arms covered (i think my upper arms are too fat) and this kimono does just that, while keeping me cool as a cucumber, i wear a sleeveless white or gray cami under it and it is soooo comfortable, i could sleep in it. it would also look great with lime green cami and white pants. so far, i wear it with blue jeans an",5,1,0,General,Jackets,Jackets
3770,861,47,,,5,1,0,General,Tops,Knits
18961,820,25,Gorgeous detail,"The top is just as shown in the picture and it is tts. lots of detailing with beads and lace. i'm 5'1, 92lbs and purchased a petite 00. just as the other reviewers noted, the side slits do come high. high waisted jeans or leggings works perfectly.",5,1,0,General,Tops,Blouses
19001,42,27,,,5,1,0,Initmates,Intimate,Intimates
12576,936,43,Love it!,"I love everything about this sweater. it's well made, the color is lovely, and best of all, i can wear it with skinny jeans without feel ""overexposed"" in the back. i think my husband thought it was rather shapeless, but i like the look of a bigger sweater with a skinny pant. a must buy at this great price!",5,1,0,General Petite,Tops,Sweaters
5863,1033,45,Love them,"Sits slightly below waist, i bought size 30p, length is good no alteration required for petite height 5'4 and 136lb. material is good and i recommend them.",5,1,1,General Petite,Bottoms,Jeans
7271,867,44,"Good tunic, great marigold color","Drapes very nicely and runs true to size. easy to wear alone or layer a jacket/cardigan over. i purchased this on sale, and it was a good buy. i am 5'8"" and purchased the size m, as i am a pretty true size 6.",5,1,1,General Petite,Tops,Knits
14443,1078,35,"Beautiful bright color, form fitting.","I wasn't sure the color would be good on me (pale with reddish hair) but it is great for my complexion. on to the fit...it fits small, imo. i'm a 10, sometimes 8. i got the 10 and it is very form fitting. don't get me wrong, it does a great job of holding it all in and giving a great overall silhouette. but, it's not that comfy to sit in and i have to suck in to have a flat belly in it. trying to decide if i should send back and try a 12??",5,1,1,General Petite,Dresses,Dresses
11594,950,46,Great sweater,"I saw someone else wearing this sweater and had to find it! i'm 5'5""and 118 lbs and ordered the small. the back of the sweater hits a few inches above my back pockets. i've been wearing it with a tank underneath and it's been the perfect sweater for fall weather. i was worried the poncho effect might make it hard to wear this sweater with a jacket but it's actually less bulky than other ""real"" sweaters i have.",5,1,0,General,Tops,Sweaters
5960,873,31,Even prettier in person,"I purchased the purple motif in petite size small. it hits just the right length for me, but i can see that if i were any larger chested, it might be an issue. (for reference, i'm a 32d, 5'4, 112lb.) it's very forgiving on the tummy area, without looking bulky (other moms know what i'm talking about and understand my appreciation for this). the shirt is also a nice quality, really comfortable, and it's easy to wear with jeans, shorts, skirts, etc., making it a welcome versatile piece.",5,1,2,General,Tops,Knits
7928,866,58,Not as pictured,"This top arrived today, and after trying it on, i wanted to leave a review to say that the shirt is 100% without a doubt pinned back on the model in the product picture. the fit is designed to be loose, so i don't think anyone could possibly get the same look as the model even if they sized down. i've included a picture of how it fits naturally, and a picture of how it fits the model as i hold the fabric back. it's still a cute shirt, just not the flattering top i was expecting. i'm debating on",2,0,6,General Petite,Tops,Knits
3191,506,29,Comfy and cute!,"I grabbed this pair of pj pants on sale, and i'm glad i did. the material is soft and lightweight-- ideal for summer,. they fit loose but true to size for a standard pair of pj pants.",5,1,0,Initmates,Intimate,Sleep
14279,879,42,"Great, flattering, comfy",I run between an xs and s in most retailer shirts. i went with the xs in this one and was glad i did. the fit is lovely and flattering. i loved this shirt the second i put it on -- then went to order it in another color.,5,1,0,General Petite,Tops,Knits
17216,1072,59,Beautiful dress!,"This dress is stunning. i have been stopped in the street by people asking where the dress is from. my only complaint is that it was very wrinkled when i bought it. initially i thought it was supposed to be that way, but after seeing the stock photos i realized it needed to be ironed. it took a long time to iron all of the wrinkles out, but it is totally worth it.",5,1,3,General,Dresses,Dresses
10132,872,31,Amazing canary yellow but a little transparent,"I love this shirt's color which is a lovely yellow. the fit is nice and flowing. i usually wear xs but intentionally bought s, so that it would be a little lose and i may wear with leggings. my one issue is how transparent it is. i opt to wear a spaghetti strap underneath it, however some women might be ok wearing it alone.",5,1,0,General Petite,Tops,Knits
17821,862,66,Sleeves a plus,If you are self conscious about your arms and want a tee that has style then this is the one. soft fabric with a flutter sleeve makes this top so flattering. i purchased the turquoise and will purchase other colors. it's flowy comfortable and a must have!,5,1,3,General Petite,Tops,Knits
1557,1078,66,Love it!,"Great dress! wish it came it more colors, would like to buy another one. i am 5'5"",125, size small is perfect. unlike one of the previous reviewers, i do not think it is too clingy. maybe she needed to size up.very versital, cute with a jean jacket, or long lightweight scarf, booties, or sandals! .",5,1,2,General,Dresses,Dresses
12132,872,44,Great top,Love this top. looks much better on than the hanger. the color and fabric are very nice.,5,1,0,General Petite,Tops,Knits
9386,895,39,Mod perfect,"This versatile tunic is a mini dress on me (5'3"" 36dd) when i wear size l and warm sweater when i wear size m. i love the boxy yet flattering cut, the cute neckline and the warm smooth knit fabric. wish i had gotten my hands on the cream colorway!",5,1,0,General,Tops,Fine gauge
11291,873,34,,Love this top. purchased for family photos and i think it's great. personally i don't think the model shot is doing it justice - it's much prettier in person. runs true to size for retailer. i am a 34d and i purchased a small.,5,1,17,General,Tops,Knits
20190,881,52,Nice fit,"I was surprised at how much i liked this sweater. i was watching it for awhile and when it went on sale i decided to give it a try. i couldn't decided on the rose or black so i ordered both since they were such a good price, figuring i would return the color i didn't want. boy was i happy i ordered both. the rose is very flattering and the fit is so much better than i expected. i am 5'9' and usually take a large in size. i could have gone down one size, but the front drapes against your body it",5,1,0,General,Tops,Knits
23115,1083,36,Beautiful unique dress,"I love this dress. the pattern/print is very different than most of the dresses i own. i'm 5'1"" 106lbs and the 0p fit perfectly. it's a delicate dress. its very fitted in the skirt portion. the top is more of a knit fabric that has some give to it.",5,1,5,General,Dresses,Dresses
21317,823,27,Love it so much that i bought both colors!,"I love this top! i ordered it in a medium, and it's perfect. i'm 47 years old, 5'2"", 125 lbs, for reference. the detail on this top is beautiful. can be paired with so many things. love it!!!",5,1,3,General Petite,Tops,Blouses
11945,829,52,True to size - like it so much i bought 2,I had no issues with size or length. i'm 5'9 34c bust and i bought the striped shirt in a 4 and the umbrella print in a 2. the 2 was ever so slightly tight at the second button but i was wearing a heavy cotton cami. i could have worn a 2 in the striped top as well. i am broad shouldered and the shoulder seam in the size 4 dropped a little so there was plenty of room. these shirts are adorable. i usually don't like button downs but this style is very flattering. the material is light and drapes w,5,1,2,General Petite,Tops,Blouses
3198,835,44,Makes me feel beautiful!,"I ordered this top in ivory in 2 sizes, because i'm in between and it looks so great in the photos and didn't want to risk it selling out while i debated sizing. i really loved the larger size because the material is not stretchy and i didn't want the sleeves to be tight when i move. it is somewhat boxy on the seam at the waist so i'm having it taken in a little so it fits more like a peplum and flares. adding a skinny belt just didn't distribute the excess fabric as i envisioned. it really is a",5,1,1,General Petite,Tops,Blouses
12611,1111,31,Thin material,"I wanted so badly to love this dress, but i couldn't get past the thin material that you can actually see through. not for this price anyhow. the dress is shorter than i had anticipated, and more fitted around the waistline flaring out at the bottom which i feel isn't accurately portrayed in the photo. on the positive though, the color is beautiful and the neck line stunning, but alas will be returning.",2,0,3,General,Dresses,Dresses
18504,825,47,Sad :(,"I love this top so much online. i received it yesterday in the mail and unfortunately i am very disappointed.  there is nothing wrong with the quality but i do think it looks more appealing online. also, this top is probably not for anyone with a large chest. it looks nice and drapey on the model. when i put it on it just makes me look fat and the top (thanks to my 38dds) looks more like a swing top. i'm sure it's a lovely top on very thin people with a smaller chest.",2,0,0,General,Tops,Blouses
4743,1080,33,Fantastic buy!,"This is my new favorite dress! i can't tell you how flattering it is. i just had a baby a few months ago, and it's the only piece of clothing i actually feel like i look like my old, pre-baby self in! i'm on the shorter side (5'3""#, very busty #because i'm nursing# and about 118 lbs. i got a mp and it fits great. i could have gotten the small, but i feel that would have been too low cut. honestly, love the cut, the pattern, everything about it. would buy again!",5,1,0,General,Dresses,Dresses
18463,440,62,Sooo soft!!,"Soft and stylish - my usual large seems a bit too large, so i will try a medium.",5,1,3,Initmates,Intimate,Lounge
13453,1125,60,,"Love the coat. style and fit are a perfect fit. true to size.
thanks for the previous reviews about the button. i am extra careful taking it on and off. versatile. take the collar off and wear on a sweater or whatever inspires you.",5,1,0,General Petite,Jackets,Outerwear
12231,1074,61,Perfection!,"Such a unique mix of prints but it totally works. much better and more vibrant in person. true to size. fits more like a maxi on me since i'm 5'1""",5,1,0,General,Dresses,Dresses
21843,868,36,"Nicely draped, beyond basic tank w/ tricky sizing","This pink tank is a wonderful addition to my go-to basics. i love the color, which is a nice deep pink that is pretty spot on in terms of accuracy to the online photo. it is a wonderful comfy fabric and the side knot adds nice visual interest to make this top appealing and unique. i also appreciate the wide straps, which means i can wear a normal bra instead of a strapless one without worrying about straps playing peek-a-boo. the only drawback is size. i ordered my usual xs (i am 5'5"", 110 lbs,",5,1,1,General,Tops,Knits
11030,877,49,Comfortable and stylish layering piece,"I like the warm neutral color of this piece and the figure-skimming shape with waist definition. it is a soft and warm layering piece. sadly, the sleeves were too long for me and have long zippers at the cuffs so rolling them up didn't work. i wish i had caught this piece while they still had my size in petite!",5,1,1,General,Tops,Knits
276,868,55,Pretty and feminine,Pretty top. love the color and the large ruffle. makes it great for layering or with a pretty necklace.,5,1,0,General,Tops,Knits
14626,882,66,Cute!,"This is a great tee. true to size, i ordered the large and it skims nicely over my hips. it has lovely quirky design features in the back and pinkish cross stitches on the sleeves and shoulders. i got the blue and it looks just like the pic. great weight for the rest of summer into fall. perfect addition to my casual life style.",5,1,13,General,Tops,Knits
21612,1109,40,Love this cozy dress!,"This dress not only makes a statement, it is very comfortable and versatile. casual or dressy options! price is reasonable and i am anxious to wear it for the first time. true to size and has some give. i ordered xs. love it!",5,1,1,General Petite,Dresses,Dresses
1393,1098,26,Beautiful and unique dress,I purchased this dress for my bridal shower and it was perfect! the details on it are amazing-delicate and lovely! i am 5'11'' and it hit just above my ankles which i loved because i could show off my shoes!,5,1,0,General,Dresses,Dresses
16823,871,70,,,2,0,0,General,Tops,Knits
530,984,61,Top coat,Top of the line! very well made and on sale to boot. i love the style and received a compliment from my sister when i wore it. i love the layered look.,5,1,0,General,Jackets,Jackets
20153,1008,54,Perfect spring skirt,"Knitted midi skirts are part of my daily uniform so i was drawn to this one. its high quality showcases intricate details: the pattern on the front is different from that on the back, the hem is asymmetric and is reverse high-low, the flat waist means the skirt is not too voluminous. the colors and pattern are reminiscent of missoni. it should be easy to coordinate with solid tops. wonderful quality and machine washable. i'm 5'5"" and the petite medium fits me as pictured. since i want the back t",5,1,9,General,Bottoms,Skirts
7527,941,33,No way,This sweater was so itchy i immediately was turned off. it looks cute in pictures but another problem was that the knitting in the shoulders looks like a kid made it. it was uneven and stretched out. it looked like it was not well made to me. it also shed so much that just from me trying it on my pants were covered in orange fuzz. i returned this one.,1,0,0,General Petite,Tops,Sweaters
13954,128,41,Super cute and comfy,"I am 5'2"", 110 lbs and i ordered my usual size xs and they fit perfectly. they are so soft and comfortable and keep me very warm. i can't wait to take them with me when we go to the snow next month!",5,1,0,General Petite,Intimate,Lounge
18943,960,34,,"This vest is much silkier than the pictures online show, which was a great surprise. the cut of this vest is beautiful and it can be worn so many ways!",5,1,1,General,Jackets,Jackets
11699,1092,37,Love at first site,"Fits perfect. i'm 5'3 and the size 2 regular fit perfect. not too long it too short, just perfect.",5,1,0,General Petite,Dresses,Dresses
11393,1081,28,In love,"I wasn't all that impressed with this dress on the hanger, but i am so glad i tried it on. it is super comfortable, very flattering, and can be worn multiple ways. spot on!",5,1,0,General Petite,Dresses,Dresses
