,children,days_employed,dob_years,education,family_status,gender,income_type,debt,total_income
92,1,1669.2796814947967,40,bachelor's_degree,civil_partnership,f,employee,0,30623.674
93,1,1446.6225418245374,32,secondary_education,married,m,employee,1,52982.334
94,1,1556.5959323180575,34,bachelor's_degree,civil_partnership,f,business,0,25609.515
95,0,541.8322411633181,51,bachelor's_degree,married,f,employee,0,15070.06
96,0,1930.492446048558,44,secondary_education,married,f,employee,0,21529.434999999998
97,0,1798.3530216997779,47,bachelor's_degree,married,f,employee,0,28965.388
98,0,1798.3530216997779,54,bachelor's_degree,married,f,retiree,0,31953.168
100,0,605.0264409707586,49,secondary_education,widow_widower,f,employee,1,28221.581
101,0,1930.492446048558,65,secondary_education,married,f,retiree,0,25275.278
102,0,1377.4472350796152,51,secondary_education,civil_partnership,f,business,0,20273.056
103,1,888.2833470851367,39,secondary_education,unmarried,f,employee,0,22757.038
104,0,1253.8870939245164,59,secondary_education,unmarried,f,retiree,0,26173.112
105,0,2098.6262962257147,62,secondary_education,widow_widower,f,employee,0,12301.47
106,1,300.64259328925505,29,secondary_education,civil_partnership,f,employee,0,27499.477000000006
107,0,1493.4491168729676,24,bachelor's_degree,civil_partnership,f,business,0,32478.203
108,2,753.4670420858772,33,bachelor's_degree,civil_partnership,f,employee,0,28808.28
109,0,2147.472607702785,59,secondary_education,married,f,employee,0,17222.988
110,0,413.9826020927449,41,secondary_education,married,m,civil_servant,0,18968.257
111,0,12930.541677797675,61,secondary_education,unmarried,f,business,0,27823.459
112,1,1841.3580944791947,28,bachelor's_degree,married,m,employee,0,44949.489
113,0,6083.9947296293385,52,secondary_education,married,f,civil_servant,0,19304.81600000001
114,0,1599.8791614370475,26,bachelor's_degree,married,f,employee,1,22955.474
115,1,2523.847898226973,38,bachelor's_degree,married,f,civil_servant,0,15655.723999999998
116,1,540.0384252136863,50,secondary_education,married,m,employee,0,13338.611
117,0,3817.113294534001,41,secondary_education,divorced,f,employee,0,28636.021
118,2,2774.655137092032,33,secondary_education,civil_partnership,m,business,0,18171.554
119,0,1253.8870939245164,60,secondary_education,unmarried,f,retiree,0,5045.56
120,0,1930.492446048558,46,secondary_education,married,f,employee,0,21529.434999999998
121,0,1798.3530216997779,29,bachelor's_degree,married,f,business,0,28965.388
122,0,171.1624207214407,55,bachelor's_degree,married,f,business,0,16580.491
123,2,5718.70890108714,39,secondary_education,married,m,employee,0,13422.851
124,0,1080.514782425162,38,secondary_education,married,f,employee,1,28007.428
125,0,191.1467457844417,64,bachelor's_degree,civil_partnership,f,business,0,29825.399
126,1,2471.5485518184228,49,secondary_education,married,m,business,0,54322.778
127,0,5229.55206892918,43,bachelor's_degree,unmarried,f,employee,0,32524.736
128,0,1884.1012119495315,67,secondary_education,divorced,f,retiree,0,17973.086
129,0,1605.0696503579034,61,secondary_education,civil_partnership,m,retiree,0,16583.189
130,0,897.3228055367267,42,secondary_education,married,f,business,0,15335.319
131,0,639.5647075616622,58,secondary_education,married,m,employee,0,11782.014
132,1,1306.4284560155902,45,secondary_education,married,m,employee,0,39396.479
133,0,1930.492446048558,64,secondary_education,married,f,retiree,0,12647.624
134,1,4171.107677064886,46,some_college,divorced,f,employee,0,26562.526
135,0,1930.492446048558,27,secondary_education,married,m,business,0,21529.434999999998
136,0,1682.08343808475,60,primary_education,married,m,retiree,0,18099.872
137,1,1910.0375923185568,28,bachelor's_degree,civil_partnership,m,employee,0,43107.834
138,0,2572.053172717263,43,secondary_education,married,f,civil_servant,0,19172.425
139,0,1765.5573866944574,29,some_college,married,m,business,0,31509.132
140,0,3017.782065456124,24,secondary_education,civil_partnership,f,employee,0,16337.758
141,0,1605.0696503579034,39,secondary_education,civil_partnership,m,employee,0,21642.797
142,0,1930.492446048558,54,secondary_education,married,f,retiree,0,17324.903000000002
143,0,1893.2998286398856,48,secondary_education,widow_widower,f,employee,0,24171.11
144,1,2105.382664335544,45,secondary_education,civil_partnership,f,employee,0,45479.693
145,0,1930.492446048558,62,secondary_education,married,m,retiree,0,21529.434999999998
146,0,1302.0260419746796,46,secondary_education,married,f,employee,0,15793.557
147,0,5772.479895574409,47,secondary_education,married,f,civil_servant,1,11925.616000000002
148,0,5050.292839852283,37,secondary_education,married,f,employee,0,23225.474
150,0,1605.0696503579034,71,secondary_education,civil_partnership,f,retiree,0,27854.127
151,0,896.462371368615,37,bachelor's_degree,civil_partnership,f,business,0,74094.397
152,1,3597.776387865821,39,secondary_education,married,f,business,0,6542.581
153,1,132.74853603066168,20,secondary_education,married,m,business,1,21560.12
154,1,1803.9306052678608,41,bachelor's_degree,widow_widower,f,employee,0,22898.133
155,0,1208.5961786776136,40,secondary_education,married,f,business,0,11326.133999999998
156,0,1930.492446048558,65,secondary_education,married,m,retiree,0,41806.566
157,0,1930.492446048558,38,secondary_education,married,f,retiree,1,18169.704
158,0,11001.589092067064,56,secondary_education,married,f,employee,0,12887.558
159,0,1253.8870939245164,59,secondary_education,unmarried,f,retiree,0,23926.857000000004
160,0,2063.2234729922893,45,secondary_education,civil_partnership,m,employee,0,31741.888
161,1,1147.591637441718,39,bachelor's_degree,married,f,employee,0,13937.139
162,0,3755.843042173655,62,secondary_education,married,m,employee,0,10652.419
163,0,7473.902957321618,50,secondary_education,married,m,employee,0,12636.092
164,2,2357.523213608679,27,bachelor's_degree,married,f,employee,1,59133.934
165,2,1268.8706856224185,32,bachelor's_degree,married,m,civil_servant,0,36526.28
166,0,450.0613423824006,38,secondary_education,civil_partnership,m,employee,0,23051.794
167,0,7219.276087439847,56,secondary_education,civil_partnership,f,civil_servant,0,35315.049
168,0,2508.785714756651,67,secondary_education,widow_widower,f,retiree,0,22246.231
169,0,1605.0696503579034,58,secondary_education,civil_partnership,f,retiree,0,26857.872000000007
170,0,182.2267232528777,28,bachelor's_degree,unmarried,m,employee,0,19475.503
171,0,9566.241471478188,60,secondary_education,civil_partnership,f,business,0,36031.647
172,0,4652.167869366604,49,secondary_education,married,f,employee,0,29276.818
173,0,9099.945304784307,49,secondary_education,married,m,business,0,66633.9
174,0,2105.8810713511107,55,bachelor's_degree,widow_widower,f,business,0,23789.396500000003
175,2,1734.7410117276208,38,secondary_education,married,f,employee,0,22593.709
176,0,1930.492446048558,60,secondary_education,married,f,retiree,0,16739.371
177,2,2109.314690632105,48,secondary_education,married,m,civil_servant,0,27691.871
178,0,2508.785714756651,59,secondary_education,widow_widower,f,retiree,0,13963.005
179,0,1177.0553834454738,43,secondary_education,unmarried,f,employee,0,28446.402
180,0,60.6373275553343,37,secondary_education,civil_partnership,f,employee,0,33961.154
181,0,1605.0696503579034,26,secondary_education,civil_partnership,f,business,1,21642.797
182,1,8164.333209415941,49,secondary_education,civil_partnership,f,employee,0,13027.153
183,1,166.26503703628762,35,bachelor's_degree,civil_partnership,m,business,1,43550.88
184,0,1798.3530216997779,57,bachelor's_degree,married,m,retiree,0,22614.059
185,0,5026.2294602728525,32,secondary_education,civil_partnership,m,employee,1,25744.913
186,0,225.1236894800484,34,secondary_education,divorced,f,employee,0,32264.057
187,0,876.8431101663022,46,bachelor's_degree,civil_partnership,f,employee,0,41606.026
188,0,99.19594695041458,48,secondary_education,married,m,employee,0,27767.149
189,1,1402.6958157057654,30,secondary_education,unmarried,f,employee,0,22345.729
190,0,335.5229563354112,26,secondary_education,civil_partnership,m,business,0,25742.636
191,0,1930.492446048558,60,secondary_education,married,f,retiree,0,27831.736
192,0,2573.1367803783523,47,secondary_education,married,m,employee,0,34950.721
193,0,1842.3919662262206,60,bachelor's_degree,divorced,f,retiree,0,15550.719
194,0,98.31216168444011,24,secondary_education,civil_partnership,m,business,0,21737.742
195,0,117.12788647939188,51,secondary_education,married,f,employee,0,40934.138
196,0,1589.7814009573162,37,bachelor's_degree,married,f,business,0,25720.728
197,0,12136.131380846336,59,bachelor's_degree,married,f,employee,0,22535.94
198,0,1403.0808299019186,52,secondary_education,unmarried,f,business,0,22267.106
199,1,223.5470176888244,23,secondary_education,widow_widower,f,employee,0,9367.94
200,0,5532.372185033889,41,secondary_education,civil_partnership,f,employee,0,32180.168
201,0,6542.460790155981,39,secondary_education,married,f,business,0,13919.489
202,1,1575.3235775718508,38,secondary_education,married,f,employee,1,14553.751
203,0,2829.665755236844,56,secondary_education,married,m,employee,0,26203.964
204,0,1930.492446048558,61,secondary_education,married,f,retiree,0,29009.248
205,1,1430.7850660878871,31,bachelor's_degree,married,f,employee,0,27662.672
206,0,1930.492446048558,54,secondary_education,married,f,retiree,0,42747.633
207,0,1352.3179068855802,37,secondary_education,unmarried,f,employee,0,18037.741
208,0,749.1756772991432,22,secondary_education,civil_partnership,m,business,0,25998.723
209,2,271.5705315052388,38,bachelor's_degree,married,f,employee,0,31221.342
211,0,577.2734342991156,41,primary_education,civil_partnership,f,employee,0,5863.853
212,0,5863.259029756954,48,bachelor's_degree,unmarried,m,civil_servant,0,38351.619
213,1,703.2435102199611,38,bachelor's_degree,civil_partnership,m,employee,1,37022.373
214,2,1321.0792231329488,41,some_college,married,f,employee,0,50327.519
215,0,79.88034967664467,42,bachelor's_degree,unmarried,f,business,0,41674.463
216,0,356.13119436148077,22,bachelor's_degree,civil_partnership,f,employee,0,19001.243
217,0,1605.0696503579034,54,secondary_education,civil_partnership,f,retiree,0,43134.241
218,1,2924.5983864777645,34,secondary_education,married,f,employee,1,34114.255
219,0,597.2734021772915,21,some_college,civil_partnership,f,business,0,13912.788
220,1,1197.6768793542578,23,some_college,civil_partnership,f,business,0,26933.434
221,0,2508.785714756651,65,secondary_education,widow_widower,f,retiree,0,28554.253
222,0,145.541617523979,32,bachelor's_degree,married,m,business,0,30237.228
223,0,1884.1012119495315,61,secondary_education,divorced,f,retiree,0,17640.186999999998
224,2,1024.9491604702278,41,secondary_education,married,f,business,0,15133.941
225,0,434.9313375154888,52,secondary_education,married,f,employee,0,24622.762
226,1,2066.908426077889,30,secondary_education,married,f,civil_servant,0,21240.698
227,1,1588.8316419325315,64,bachelor's_degree,civil_partnership,f,employee,0,22787.943
228,0,1253.8870939245164,60,secondary_education,unmarried,f,retiree,0,30468.18
229,0,2508.785714756651,73,secondary_education,widow_widower,f,retiree,0,21903.521
230,1,2049.211575996865,28,secondary_education,civil_partnership,m,business,1,30173.703
231,1,144.18585382423603,41,secondary_education,married,f,employee,1,17934.496
232,0,3803.807419355826,49,secondary_education,civil_partnership,f,employee,0,11938.7
233,1,1475.697490068114,50,secondary_education,married,f,employee,0,22942.571
234,0,5865.31500734791,52,secondary_education,unmarried,f,employee,0,22471.631
235,0,1031.9076040874072,50,secondary_education,married,f,employee,0,20026.55
236,0,1930.492446048558,59,secondary_education,married,f,retiree,0,22873.047
237,2,2585.402858170127,37,secondary_education,married,m,employee,0,32430.361
238,0,708.0735831904608,44,secondary_education,civil_partnership,f,employee,0,37669.985
239,0,5267.841785143054,43,secondary_education,married,m,employee,0,69870.203
240,0,4973.6414847747665,47,secondary_education,widow_widower,f,business,0,21247.559
241,0,1930.492446048558,47,secondary_education,married,m,employee,0,21529.434999999998
242,0,1930.492446048558,58,secondary_education,married,f,civil_servant,0,21529.434999999998
243,0,464.6341336266803,49,bachelor's_degree,civil_partnership,m,business,0,61398.905
244,0,879.5873497728171,48,secondary_education,civil_partnership,f,employee,0,20951.298
245,0,1933.31899355189,50,secondary_education,divorced,m,employee,0,31547.17
246,1,1598.8702140303076,40,secondary_education,married,f,business,0,25336.012
247,1,1430.7850660878871,60,bachelor's_degree,married,f,retiree,1,27662.672
248,0,3132.180734195495,31,secondary_education,married,m,employee,0,41521.792
249,0,1615.9148140204693,29,bachelor's_degree,married,f,employee,0,30110.454
250,0,1798.3530216997779,54,bachelor's_degree,married,f,employee,0,28965.388
251,0,2508.785714756651,71,secondary_education,widow_widower,f,retiree,0,22220.346
252,1,5793.741211736386,35,secondary_education,married,f,business,0,36806.42
253,0,2508.785714756651,63,secondary_education,widow_widower,f,retiree,0,14711.643
254,2,940.6004540822236,44,bachelor's_degree,married,f,business,0,52340.278
255,0,6373.865375741792,45,secondary_education,married,m,employee,0,19180.665
256,0,1681.6645489757752,52,secondary_education,married,f,employee,0,13266.093
257,0,874.8530628222733,49,bachelor's_degree,married,m,employee,0,32727.192000000006
258,1,930.0835695908776,47,secondary_education,civil_partnership,m,employee,0,23853.232000000004
259,0,1611.5705027263714,29,bachelor's_degree,civil_partnership,f,employee,0,33916.081
260,1,1710.1403339177082,29,secondary_education,civil_partnership,f,business,0,45845.418
261,0,2658.4860825068777,51,secondary_education,married,f,business,0,23026.168
262,0,1617.8403552782231,44,secondary_education,married,f,employee,0,26973.822
263,0,1930.492446048558,52,secondary_education,married,f,retiree,0,12036.133
264,2,1382.4774003021355,40,secondary_education,divorced,f,employee,0,21110.035
265,2,2888.5517238004663,48,secondary_education,married,m,business,0,34557.671
266,0,1930.492446048558,59,secondary_education,married,f,retiree,0,14942.653
267,0,1798.3530216997779,68,bachelor's_degree,married,f,retiree,0,25778.003
268,2,2875.499547903885,29,bachelor's_degree,unmarried,m,employee,0,42662.71900000001
269,2,146.00066306283634,37,secondary_education,married,f,employee,1,12853.455
271,0,2508.785714756651,66,secondary_education,widow_widower,f,retiree,0,9830.631
272,0,5538.96373102039,35,primary_education,civil_partnership,m,employee,1,19810.253
273,0,1253.8870939245164,57,secondary_education,unmarried,f,retiree,0,14483.766
274,2,1945.3766760759029,25,secondary_education,civil_partnership,m,business,0,52852.559
275,0,1481.2761428816516,44,secondary_education,married,f,employee,0,7659.414000000002
276,0,8631.590122353682,64,secondary_education,married,f,employee,0,25730.322
277,1,2725.9705734796325,46,secondary_education,civil_partnership,m,employee,0,19562.113
278,1,1481.834448447635,23,secondary_education,civil_partnership,f,employee,1,22445.389
279,0,1605.0696503579034,44,secondary_education,civil_partnership,f,employee,0,21642.797
280,0,1930.492446048558,66,secondary_education,married,f,retiree,0,21529.434999999998
281,1,1912.6526781783864,44,secondary_education,married,m,business,0,33180.058
282,2,4016.445178900168,33,secondary_education,married,m,employee,0,36971.018
283,0,2508.785714756651,56,secondary_education,widow_widower,f,retiree,0,25986.582
284,0,9488.078233698932,63,bachelor's_degree,married,f,employee,0,16492.483
285,0,877.6474187514337,50,secondary_education,married,m,business,1,13098.098
286,0,9854.773564031651,45,secondary_education,married,f,employee,0,16738.258
287,0,1382.864823354735,47,secondary_education,married,m,employee,1,22886.818
288,0,1303.9577949784834,28,secondary_education,married,f,employee,0,13778.763
289,1,710.680916165844,44,secondary_education,married,f,employee,0,24550.335
290,0,1006.2400540838852,35,secondary_education,married,m,business,0,25677.319
291,0,4417.703587995504,46,secondary_education,civil_partnership,f,employee,0,16450.615
292,0,3675.617929176691,56,secondary_education,married,f,employee,0,21341.368
293,0,1930.492446048558,65,secondary_education,married,f,retiree,0,27041.489
294,4,2220.384764836021,36,bachelor's_degree,civil_partnership,f,employee,0,53603.948
295,0,884.5458974260507,27,secondary_education,civil_partnership,f,business,0,18021.287
296,0,741.1272798825229,43,bachelor's_degree,married,f,employee,0,32531.739
297,0,471.7627961551879,45,secondary_education,married,f,employee,1,22941.339
298,1,1082.79895063531,44,secondary_education,married,f,business,0,17783.56
299,0,1433.3817756275732,28,bachelor's_degree,married,f,employee,0,37693.333
300,1,359.1939748533992,33,secondary_education,civil_partnership,m,employee,0,35680.26
301,0,848.5856662408221,53,secondary_education,married,m,employee,1,27903.376
302,2,259.73715538018814,49,primary_education,civil_partnership,f,employee,0,31052.373
303,2,1684.7284630848926,25,secondary_education,unmarried,f,civil_servant,0,10087.689
304,0,1930.492446048558,66,secondary_education,married,f,retiree,0,14875.842
305,2,7381.422128841863,36,secondary_education,divorced,f,employee,1,7205.312
306,0,801.5095055216783,61,secondary_education,married,f,business,0,22119.802000000003
307,0,223.3644276045744,22,secondary_education,unmarried,f,civil_servant,0,20428.472
308,0,916.3237369758148,28,bachelor's_degree,married,m,civil_servant,0,41777.794
309,0,2508.785714756651,63,secondary_education,widow_widower,f,retiree,0,16320.201
310,0,7813.942226451337,49,secondary_education,married,m,business,0,25005.113
311,0,1930.492446048558,44,secondary_education,married,f,retiree,0,7593.276999999999
312,1,1481.834448447635,33,secondary_education,civil_partnership,m,employee,1,22445.389
313,0,519.3467721350727,35,secondary_education,married,m,business,1,52070.544
314,2,672.7917694809772,39,secondary_education,married,m,employee,0,17821.678
315,0,1930.492446048558,61,secondary_education,married,f,retiree,0,23356.514
316,0,740.7219313585773,34,secondary_education,unmarried,m,civil_servant,0,32340.031000000006
317,0,1289.188792530339,21,bachelor's_degree,unmarried,m,employee,0,27503.559
318,0,3236.795575343229,35,bachelor's_degree,married,m,business,0,49691.913
319,0,5484.416234752971,55,bachelor's_degree,married,f,employee,0,67747.647
320,0,2508.785714756651,63,secondary_education,widow_widower,f,employee,0,20193.389
321,1,1556.5959323180575,34,bachelor's_degree,civil_partnership,m,business,0,25609.515
322,0,1605.0696503579034,56,secondary_education,civil_partnership,f,retiree,1,21642.797
323,0,1419.816090396125,64,secondary_education,married,m,business,0,36433.019
324,0,7694.8498315674515,42,bachelor's_degree,married,m,civil_servant,0,51312.148
325,0,2277.897532336699,29,secondary_education,married,m,employee,0,25068.895
326,0,1884.1012119495315,55,secondary_education,divorced,f,retiree,0,14827.787
327,0,2940.06141418675,27,primary_education,married,m,employee,0,23678.277
328,0,2508.785714756651,69,secondary_education,widow_widower,f,employee,0,20193.389
329,0,1020.512525516756,50,secondary_education,married,f,business,0,39926.249
330,1,1444.250749887419,42,secondary_education,unmarried,f,business,0,28052.577
331,0,222.2813085847704,43,secondary_education,widow_widower,f,employee,0,23806.413
332,0,2568.192779556794,28,bachelor's_degree,married,f,employee,0,46482.459
333,0,1193.595714015692,57,secondary_education,married,m,business,0,36846.741
334,1,4025.889116498281,32,secondary_education,unmarried,f,employee,0,35330.446
335,1,342.2498820950371,26,secondary_education,married,f,employee,1,38322.404
336,0,3707.557542835147,43,bachelor's_degree,married,m,employee,0,66728.287
337,1,4271.528215497427,48,secondary_education,married,f,business,0,21062.978
338,0,1447.7650588443744,30,bachelor's_degree,divorced,f,employee,1,56618.24400000001
339,1,1561.61312692834,32,secondary_education,married,f,employee,0,12761.093
340,1,291.45755399722907,46,secondary_education,married,f,employee,0,8767.534
341,2,211.3321064357295,33,secondary_education,unmarried,f,employee,0,15763.615
342,0,1821.341911016643,37,secondary_education,married,f,employee,0,25029.511
343,0,1139.7442160211767,53,secondary_education,civil_partnership,m,employee,0,30931.02
344,0,351.6338642849568,36,bachelor's_degree,unmarried,f,employee,0,22190.587000000003
345,0,1459.4034228906326,65,secondary_education,widow_widower,f,employee,0,17264.987
346,0,2344.182990243104,27,secondary_education,married,m,employee,0,25943.447
347,0,1290.6190053614364,28,bachelor's_degree,civil_partnership,m,employee,0,37649.763
348,0,1930.492446048558,69,secondary_education,married,m,retiree,0,27115.983
349,0,1183.7913987019874,57,secondary_education,civil_partnership,m,employee,0,18356.312
350,0,2508.785714756651,64,secondary_education,widow_widower,f,retiree,0,23954.562
351,1,6799.624714399357,42,secondary_education,married,f,civil_servant,0,46524.918
352,3,2949.422637238689,35,secondary_education,married,m,business,0,30804.632
353,2,1017.1789354666404,38,secondary_education,married,f,employee,0,25219.967
354,1,3157.923499244517,30,secondary_education,civil_partnership,m,business,0,54974.069
355,1,5317.759753714574,58,secondary_education,married,m,business,0,61209.89599999999
356,0,2623.5186831484025,54,bachelor's_degree,married,f,employee,0,44607.597
357,0,455.6602391427302,54,secondary_education,civil_partnership,m,employee,0,22880.843
358,0,860.1763676597028,26,secondary_education,unmarried,m,employee,0,42521.377
359,0,133.8767214784542,44,bachelor's_degree,civil_partnership,f,business,0,23851.444
360,0,1930.492446048558,27,secondary_education,married,m,business,0,21529.434999999998
361,0,2508.785714756651,59,secondary_education,widow_widower,f,retiree,0,20193.389
362,1,1090.0447593963395,36,bachelor's_degree,married,f,employee,0,45537.608
363,2,2098.6432252243694,37,secondary_education,married,f,employee,0,32510.002
364,0,1605.0696503579034,57,secondary_education,civil_partnership,f,business,0,21642.797
365,2,1372.5861144155338,36,bachelor's_degree,married,m,business,0,88579.877
366,0,2808.633986434691,41,bachelor's_degree,civil_partnership,m,business,0,49406.434
367,0,683.2745023565002,57,secondary_education,widow_widower,f,employee,0,11880.549
368,1,61.5184565937786,31,secondary_education,unmarried,f,employee,0,10253.75
369,2,623.6179247237885,36,bachelor's_degree,married,m,business,0,57626.158
370,2,3814.26649980285,30,secondary_education,married,f,employee,0,18611.793
371,1,1572.4008289960425,38,some_college,married,m,employee,0,53039.263
372,0,1093.0090245007823,29,bachelor's_degree,married,m,employee,0,41038.071
373,1,3957.878085909921,37,bachelor's_degree,married,f,civil_servant,0,69995.429
374,0,1177.9676477283056,46,secondary_education,married,f,business,0,36843.668
375,0,2491.6665796238817,33,secondary_education,civil_partnership,f,employee,1,10161.765
376,0,721.0556183500577,23,some_college,unmarried,m,employee,0,24812.725
